longitude	latitude
137.735142	34.7037
137.733162	34.706988
137.675198	34.831424
137.752655	34.710338
137.702106	34.698597
137.731004	34.702272
137.672298	34.829618
137.737286	34.777586
137.728893	34.702138
137.759547	34.775499
137.79586	34.759968
137.74837	34.799497
137.77823	34.783656
137.553055	34.807209
137.787434	34.73514
137.551479	34.802737
137.654295	34.806498
137.61425	34.761414
137.549817	34.803165
137.704254	34.683571
137.753966	34.668083
137.74897	34.749492
137.71555	34.822462
137.680025	34.769498
137.671416	34.719721
137.700763	34.801084
137.724183	34.729574
137.732789	34.961982
137.77586	34.789053
137.714233	34.688018
137.776332	34.749685
137.607853	34.75434
137.665191	34.768967
137.749617	34.698945
137.706148	34.73279
137.728531	34.766334
137.554788	34.806665
137.550508	34.807595
137.754393	34.763582
137.75316	34.760991
137.617745	34.684029
137.718731	34.704387
137.731175	34.723203
137.785979	34.734051
137.776638	34.787842
137.751179	34.769087
137.761113	34.689783
137.613296	34.767052
137.715902	34.770369
137.73158	34.725841
137.79696	34.810462
137.725878	34.715601
137.734403	34.704194
137.655478	34.808404
137.775361	34.726146
137.760871	34.715163
137.734493	34.75263
137.755954	34.714941
137.696812	34.701416
137.749944	34.71018
137.677248	34.688273
137.613671	34.764713
137.771958	34.737025
137.659149	34.685064
137.768595	34.715835
137.684123	34.816287
137.724266	34.735118
137.707441	34.715842
137.780013	34.783817
137.715821	34.77118
137.780399	34.781437
137.662211	34.738752
137.628625	34.686146
137.680427	34.712998
137.623154	34.801667
137.683928	34.760411
137.759909	34.770579
137.694106	34.709159
137.831086	34.882464
137.682034	34.716671
137.794107	34.8359
137.596878	34.69879
137.771419	34.729889
137.708486	34.774321
137.743705	34.713337
137.562951	34.694481
137.730147	34.70585
137.753397	34.706297
137.793899	34.822383
137.815502	34.820093
137.729643	34.706504
137.552283	34.803348
137.727427	34.730116
137.765875	34.740338
137.763865	34.714824
137.728673	34.706515
137.777533	34.721191
137.711913	34.709176
137.719688	34.769689
137.815401	34.866325
137.77205	34.715894
137.746291	34.762496
137.729448	34.708865
137.798309	34.832754
137.792401	34.771844
137.714383	34.767719
137.749346	34.733779
137.71203	34.769202
137.712134	34.807139
137.703892	34.758952
137.722152	34.757788
137.754243	34.762635
137.795343	34.759071
137.691242	34.72786
137.823934	34.856563
137.712771	34.799801
137.720351	34.767473
137.730108	34.705317
137.740173	34.70298
137.749647	34.711621
137.72329	34.759107
137.774739	34.7196
137.770445	34.727815
137.743551	34.750772
137.724352	34.735874
137.789367	34.784101
137.8232	34.873502
137.770626	34.706711
137.751216	34.777045
137.814474	34.809211
137.735886	34.716226
137.758506	34.776442
137.747325	34.783809
137.725813	34.73634
137.791061	34.753985
137.679245	34.695318
137.677525	34.786379
137.798205	34.725128
137.726698	34.706551
137.625678	34.686204
137.785102	34.768391
137.790151	34.719639
137.700878	34.696866
137.708936	34.755618
137.785614	34.794317
137.748061	34.710643
137.783504	34.741069
137.703006	34.687618
137.815931	34.870135
137.832902	34.889716
137.632358	34.680863
137.729423	34.706238
137.731611	34.707682
137.720866	34.759354
137.70587	34.762692
137.641245	34.698723
137.775789	34.691417
137.779534	34.810978
137.737423	34.698764
137.72582	34.707646
137.750238	34.713101
137.73064	34.704516
137.68727	34.806744
137.70802	34.679241
137.70662	34.766089
137.733598	34.703746
137.701724	34.673875
137.72581	34.749972
137.679017	34.693472
137.665268	34.681381
137.81492	34.869322
137.780044	34.713717
137.73387	34.706635
137.790171	34.818428
137.728907	34.706956
137.732006	34.702724
137.757777	34.699959
137.760712	34.733563
137.731018	34.70363
137.731032	34.704989
137.731628	34.707174
137.65138	34.807302
137.59357	34.692449
137.564113	34.797108
137.734453	34.704183
137.733085	34.706297
137.613418	34.766538
137.613136	34.765515
137.613652	34.764025
137.613263	34.767388
137.613416	34.764863
137.612938	34.767294
137.613665	34.764552
137.613863	34.768416
137.634977	34.761262
137.68727	34.806744
137.738559	34.706621
137.724887	34.711784
137.73294	34.84008
137.73294	34.84008
137.634588	34.762059
137.634588	34.762059
137.602839	34.689067
137.820092	34.85949
137.615938	34.76162
137.649035	34.806336
137.73187	34.704893
137.735247	34.713101
137.729218	34.706138
137.729351	34.705993
137.72667	34.71397
137.616087	34.7643
137.615285	34.766436
137.616087	34.7643
137.72594	34.710895
137.732376	34.703746
137.73319	34.70388
137.73336	34.704582
137.733839	34.704927
137.745398	34.741582
137.716855	34.697125
137.599628	34.715439
137.752318	34.776811
137.670568	34.683056
137.761451	34.727181
137.798484	34.83372
137.767373	34.727692
137.78192	34.801918
137.745621	34.780761
137.731229	34.69978
137.613543	34.684998
137.783648	34.79265
137.783296	34.782845
137.72478	34.738321
137.681917	34.762188
137.717499	34.699011
137.729198	34.708537
137.502437	34.697745
137.562293	34.687937
137.728307	34.763221
137.594956	34.692524
137.769328	34.7356
137.704584	34.715122
137.784712	34.791256
137.747756	34.749339
137.703886	34.792713
137.743987	34.680956
137.796979	34.756254
137.788866	34.812806
137.736153	34.712734
137.778463	34.719383
137.504332	34.686557
137.736817	34.715942
137.775272	34.718394
137.704876	34.768969
137.723123	34.78777
137.730494	34.703616
137.783481	34.756762
137.750643	34.733874
137.799464	34.769509
137.787196	34.73302
137.65637	34.813606
137.618389	34.737652
137.647428	34.77506
137.636196	34.762095
137.648907	34.844743
137.743429	34.739665
137.781618	34.734442
137.751869	34.719778
137.732095	34.70538
137.667879	34.828596
137.616645	34.846695
137.614121	34.760956
137.730306	34.707465
137.730853	34.707388
137.730262	34.707338
137.729304	34.706649
137.645178	34.698656
137.790518	34.719944
137.762048	34.776117
137.720032	34.704202
137.735748	34.710201
137.72897	34.706971
137.613881	34.848567
137.808216	34.846747
137.78454	34.791722
137.536698	34.769215
137.584762	34.794914
137.584468	34.795334
137.511853	34.756363
137.729146	34.706313
137.729495	34.707065
137.716058	34.699899
137.738148	34.685483
137.730323	34.703744
137.704315	34.774512
137.715119	34.678955
137.721544	34.674417
137.745739	34.685069
137.750404	34.769151
137.729984	34.706299
137.719765	34.704043
137.780292	34.756306
137.792876	34.718695
137.705315	34.682827
137.729753	34.707095
137.694752	34.740347
